Head,LogitDiff
Layer14Head7,-0.009185048751533031
Layer13Head25,-0.009248960763216019
Layer17Head15,-0.009288491681218147
Layer11Head25,-0.009332500398159027
Layer16Head2,-0.009341821074485779
Layer21Head7,-0.009349607862532139
Layer15Head31,-0.009388001635670662
Layer30Head31,-0.009391704574227333
Layer23Head20,-0.009455764666199684
Layer26Head14,-0.009459136985242367
Layer31Head6,-0.0094600273296237
Layer27Head22,-0.009477918967604637
Layer15Head12,-0.009488540701568127
Layer16Head28,-0.009500384330749512
Layer31Head23,-0.009552323259413242
Layer24Head17,-0.009583912789821625
Layer15Head22,-0.009586376138031483
Layer29Head31,-0.00960514321923256
Layer28Head0,-0.009621874429285526
Layer22Head19,-0.009632550179958344
Layer31Head5,-0.009656572714447975
Layer23Head31,-0.009659949690103531
Layer25Head11,-0.009666478261351585
Layer8Head15,-0.00967487320303917
Layer19Head13,-0.009711092337965965
Layer23Head25,-0.009711234830319881
Layer20Head24,-0.009723319672048092
Layer27Head9,-0.009733427315950394
Layer23Head0,-0.009770402684807777
Layer29Head8,-0.009785166010260582
Layer13Head1,-0.009801789186894894
Layer29Head30,-0.009807093068957329
Layer12Head8,-0.009810792282223701
Layer29Head24,-0.009838579222559929
Layer19Head8,-0.009877728298306465
Layer24Head18,-0.009914422407746315
Layer18Head15,-0.009915752336382866
Layer4Head6,-0.009930123575031757
Layer11Head4,-0.009981732815504074
Layer22Head1,-0.00999924074858427
Layer30Head23,-0.010019231587648392
Layer15Head18,-0.010040090419352055
Layer12Head10,-0.010040936060249805
Layer23Head30,-0.01004185900092125
Layer18Head25,-0.010054698213934898
Layer16Head15,-0.010074032470583916
Layer29Head16,-0.010086741298437119
Layer23Head8,-0.010101950727403164
Layer27Head29,-0.010111600160598755
Layer28Head26,-0.010114744305610657
Layer28Head20,-0.010115595534443855
Layer24Head11,-0.010123688727617264
Layer6Head21,-0.010137819685041904
Layer11Head20,-0.010142755694687366
Layer18Head22,-0.010144403204321861
Layer22Head13,-0.010153474286198616
Layer21Head16,-0.01017394196242094
Layer21Head26,-0.010176639072597027
Layer22Head3,-0.010182952508330345
Layer16Head5,-0.010187667794525623
Layer22Head16,-0.010196857154369354
Layer15Head26,-0.010208867490291595
Layer20Head16,-0.010223506018519402
Layer14Head0,-0.010265589691698551
Layer9Head23,-0.010270856320858002
Layer24Head24,-0.010276734828948975
Layer21Head5,-0.010296599939465523
Layer15Head0,-0.010306181386113167
Layer21Head1,-0.010308540426194668
Layer31Head7,-0.01030965056270361
