layer,head,mean,min,max
2,24,0.06532725691795349,0.0,0.17445120215415955
2,25,0.0464920699596405,0.0,0.13841073215007782
2,26,0.026585178449749947,0.0,0.07304114103317261
2,27,0.02243225835263729,0.0,0.05398979410529137
3,0,0.018187157809734344,0.0,0.0897926539182663
3,1,0.1619674563407898,0.0,0.7481277585029602
3,2,0.028608612716197968,0.0,0.07032991200685501
3,3,0.10160724818706512,0.0,0.3308669924736023
3,4,0.08810623735189438,0.0,0.31439846754074097
3,5,0.052092619240283966,0.0,0.17402569949626923
3,6,0.042175278067588806,0.0,0.0970206931233406
3,7,0.022431327030062675,0.0,0.07099989801645279
3,8,0.10750991851091385,0.0,0.5514341592788696
3,9,0.0660993680357933,0.0,0.34329718351364136
3,10,0.03168611228466034,0.0,0.09223637729883194
3,11,0.046979036182165146,0.0,0.17560896277427673
3,12,0.03978624567389488,0.0,0.12275628000497818
3,13,0.0286815594881773,0.0,0.16103525459766388
3,14,0.06752705574035645,0.0,0.12431338429450989
3,15,0.04285554587841034,0.0,0.13729675114154816
3,16,0.025955859571695328,0.0,0.07048709690570831
3,17,0.09564871340990067,0.0,0.321191668510437
3,18,0.03109576553106308,0.0,0.08064098656177521
3,19,0.08719614148139954,0.0,0.34333595633506775
3,20,0.027394594624638557,0.0,0.147064208984375
3,21,0.05790499970316887,0.0,0.16519200801849365
3,22,0.10236920416355133,0.0,0.6366866827011108
3,23,0.09176614880561829,0.0,0.37507015466690063
3,24,0.06572156399488449,0.0,0.19650302827358246
3,25,0.10316541790962219,0.0,0.21438433229923248
3,26,0.09225060790777206,0.0,0.2374197244644165
3,27,0.07107871770858765,0.0,0.2192734032869339
4,0,0.004159067291766405,0.0,0.008859127759933472
4,1,0.022486133500933647,0.0,0.07930115610361099
4,2,0.011709598824381828,0.0,0.055917754769325256
4,3,0.04668409377336502,0.0,0.23232202231884003
4,4,0.024017103016376495,0.0,0.11642549932003021
4,5,0.049329645931720734,0.0,0.13186655938625336
4,6,0.006977546494454145,0.0,0.025223679840564728
4,7,5.276787851471454e-05,0.0,0.00023046290152706206
4,8,0.0034182898234575987,0.0,0.017129167914390564
4,9,0.005957992281764746,0.0,0.024707980453968048
4,10,0.0018188280519098043,0.0,0.0090958122164011
4,11,0.01104854978621006,0.0,0.04037101939320564
4,12,0.015263501554727554,0.0,0.062162406742572784
4,13,0.0003841636935248971,0.0,0.0018153805285692215
4,14,0.01782216876745224,0.0,0.047287557274103165
4,15,0.006730950903147459,0.0,0.014196928590536118
4,16,0.004983803257346153,0.0,0.012416137382388115
4,17,0.01970432698726654,0.0,0.07713174819946289
4,18,0.01188852358609438,0.0,0.0540616549551487
4,19,0.008919280022382736,0.0,0.029689911752939224
4,20,0.0020303206983953714,0.0,0.007356479298323393
4,21,0.05738656222820282,0.0,0.14303094148635864
4,22,0.008315788581967354,0.0,0.021653419360518456
4,23,0.004151865374296904,0.0,0.012580669485032558
4,24,0.06562301516532898,0.0,0.5448123216629028
4,25,0.007183326408267021,0.0,0.025998592376708984
4,26,0.006820196285843849,0.0,0.027567928656935692
4,27,0.004760798532515764,0.0,0.02033574879169464
5,0,0.004395090509206057,0.0,0.022335460409522057
5,1,0.023172477260231972,0.0,0.1186630055308342
5,2,0.02317650429904461,0.0,0.08457610756158829
5,3,0.022887233644723892,0.0,0.08660627156496048
5,4,0.02479425072669983,0.0,0.1050538569688797
5,5,0.012919175438582897,0.0,0.07745756208896637
5,6,0.0031062362249940634,0.0,0.012124728411436081
5,7,0.005619074683636427,0.0,0.026075338944792747
5,8,0.007104045711457729,0.0,0.030278591439127922
5,9,0.009749568067491055,0.0,0.02024053782224655
5,10,0.0066792769357562065,0.0,0.01777276024222374
5,11,0.0029525409918278456,0.0,0.008889518678188324
5,12,0.017871536314487457,0.0,0.03892015293240547
5,13,0.030942711979150772,0.0,0.20480546355247498
5,14,0.0040153618901968,0.0,0.017594853416085243
5,15,0.0006723155383951962,0.0,0.0019364324398338795
5,16,0.04110074043273926,0.0,0.21453629434108734
5,17,0.015471402555704117,0.0,0.044734373688697815
5,18,0.0031599567737430334,0.0,0.01251935213804245
5,19,0.0020026741549372673,0.0,0.005235256627202034
5,20,0.01031677145510912,0.0,0.031734295189380646
5,21,0.002719240030273795,0.0,0.009554671123623848
5,22,0.015470855869352818,0.0,0.07699047774076462
5,23,0.004700198769569397,0.0,0.023893767967820168
5,24,0.002562500536441803,0.0,0.008703775703907013
5,25,0.09262438863515854,0.0,0.78138667345047
5,26,0.005729616153985262,0.0,0.020059388130903244
5,27,0.06647972762584686,0.0,0.4440253674983978
6,0,0.011953085660934448,0.0,0.04769493266940117
6,1,0.0038753843400627375,0.0,0.015213515609502792
6,2,0.014018949121236801,0.0,0.05165304243564606
