Layer,Head,Contribution
2,12,0.36231961846351624
1,11,0.36225491762161255
25,8,0.3618471622467041
22,5,0.3544662594795227
1,13,0.35194131731987
4,11,0.3486308455467224
21,7,0.34085968136787415
6,2,0.33899635076522827
3,0,0.3330211639404297
14,12,0.33183419704437256
29,15,0.3318319320678711
13,15,0.3280603289604187
5,8,0.3228796124458313
21,0,0.3152983486652374
8,8,0.310550332069397
12,6,0.30989840626716614
8,14,0.3071070909500122
2,2,0.2957616448402405
9,9,0.2930166721343994
7,13,0.2897762358188629
13,0,0.2851851284503937
14,3,0.2848849296569824
20,11,0.28126442432403564
3,8,0.2770085334777832
23,5,0.2764522433280945
22,11,0.27124178409576416
17,10,0.2700885534286499
10,4,0.2697024643421173
10,3,0.26780593395233154
10,5,0.2670033574104309
1,15,0.2655528485774994
14,1,0.26244616508483887
12,11,0.2605453133583069
12,0,0.24495874345302582
5,2,0.23812580108642578
5,1,0.2367357313632965
21,10,0.23631975054740906
18,9,0.23629440367221832
2,15,0.2352486550807953
32,11,0.23309016227722168
10,13,0.2319619357585907
30,4,0.22364483773708344
11,14,0.222452312707901
32,3,0.21713067591190338
31,6,0.20808175206184387
32,7,0.17769262194633484
8,7,0.17608310282230377
0,7,0.17536398768424988
23,1,0.1682840883731842
13,12,0.16797637939453125
35,3,0.16456985473632812
16,15,0.16372504830360413
29,3,0.16190850734710693
1,10,0.16120107471942902
1,3,0.15363219380378723
15,3,0.15197934210300446
7,5,0.15048694610595703
5,14,0.14470088481903076
25,12,0.14022856950759888
14,11,0.13975220918655396
11,11,0.13921809196472168
11,4,0.1388651728630066
10,2,0.13497579097747803
13,9,0.13375084102153778
14,7,0.12780243158340454
32,1,0.1270807981491089
27,6,0.12684142589569092
12,2,0.12491261959075928
7,10,0.11809977144002914
1,12,0.11547033488750458
35,7,0.11374127864837646
2,10,0.11079880595207214
30,8,0.10663092136383057
0,11,0.09620136022567749
1,6,0.09618933498859406
12,10,0.09567606449127197
26,14,0.09534752368927002
26,4,0.09390801191329956
26,10,0.09223103523254395
11,0,0.09107941389083862
1,2,0.08422774076461792
29,5,0.08420164883136749
9,14,0.08207923173904419
5,5,0.07881977409124374
22,14,0.07679665088653564
12,4,0.07641220092773438
11,7,0.07242637872695923
2,8,0.06666624546051025
22,3,0.06596630811691284
21,15,0.06593447923660278
31,9,0.06049239635467529
0,10,0.05594301223754883
10,12,0.0551377534866333
20,10,0.0545198917388916
20,4,0.05351436138153076
33,15,0.05350995063781738
6,12,0.05200690031051636
20,12,0.05072030425071716
13,5,0.04843446612358093
23,3,0.047151416540145874
18,11,0.045798540115356445
9,4,0.04348021745681763
6,9,0.0423879399895668
0,14,0.03778466582298279
2,5,0.03720921277999878
6,1,0.023228377103805542
10,1,0.02031990885734558
31,1,0.01369011402130127
2,6,0.004020959138870239
19,13,0.0021979808807373047
7,3,0.00037847086787223816
4,9,-0.009291484951972961
11,2,-0.011927090585231781
2,7,-0.01931767165660858
29,13,-0.019526660442352295
32,13,-0.032958030700683594
9,11,-0.03512924909591675
8,3,-0.042068883776664734
1,9,-0.05355429649353027
18,4,-0.05899405479431152
21,1,-0.06022989749908447
28,11,-0.06069093942642212
7,9,-0.06356704235076904
7,11,-0.06824368238449097
31,0,-0.06870421767234802
5,3,-0.0689784437417984
12,9,-0.06954297423362732
22,15,-0.07626205682754517
5,7,-0.07642956078052521
21,9,-0.07770323753356934
14,9,-0.08264422416687012
3,2,-0.08412528038024902
0,13,-0.08535593748092651
28,10,-0.08854088187217712
8,12,-0.08902798593044281
20,1,-0.08953225612640381
16,2,-0.09276449680328369
22,10,-0.0971076488494873
16,6,-0.10314013063907623
9,2,-0.11192909628152847
17,4,-0.11925947666168213
27,14,-0.12338805198669434
17,3,-0.12706434726715088
7,14,-0.12809845805168152
5,12,-0.12990382313728333
8,6,-0.13125720620155334
1,5,-0.13483230769634247
13,1,-0.13601136207580566
7,2,-0.13641870021820068
2,3,-0.14888286590576172
25,14,-0.15146590769290924
7,7,-0.16215308010578156
26,12,-0.16288119554519653
26,15,-0.16327004134655
10,9,-0.16772019863128662
14,0,-0.17504924535751343
11,6,-0.17726191878318787
6,5,-0.18671000003814697
17,1,-0.19076402485370636
11,10,-0.19095879793167114
0,2,-0.19164299964904785
23,8,-0.19288739562034607
0,4,-0.19446398317813873
22,12,-0.19887930154800415
21,14,-0.1998732089996338
13,7,-0.20467990636825562
29,1,-0.20767249166965485
21,5,-0.208931565284729
11,5,-0.2122908979654312
21,8,-0.21427184343338013
12,1,-0.2184428572654724
6,11,-0.22489705681800842
1,7,-0.2305622398853302
8,5,-0.2417529821395874
27,15,-0.24895262718200684
22,13,-0.25408515334129333
16,3,-0.2541821300983429
13,10,-0.2568604350090027
24,0,-0.2597215473651886
24,9,-0.2597362995147705
1,4,-0.26098090410232544
8,11,-0.26431384682655334
1,0,-0.2658836841583252
18,10,-0.2761838436126709
26,5,-0.2773696184158325
0,1,-0.2783956229686737
4,6,-0.283408522605896
6,14,-0.29487016797065735
2,0,-0.29510027170181274
28,3,-0.2953054904937744
15,9,-0.2953060567378998
5,4,-0.3013971149921417
30,5,-0.30804193019866943
0,5,-0.3092944025993347
28,4,-0.3095083236694336
31,7,-0.3102266788482666
22,0,-0.31027087569236755
11,1,-0.3152838349342346
23,13,-0.3313479423522949
20,15,-0.3353312611579895
18,8,-0.33988577127456665
5,15,-0.3416023552417755
16,7,-0.3444611728191376
11,3,-0.34487801790237427
6,7,-0.34510576725006104
29,2,-0.35321974754333496
16,4,-0.36214572191238403
0,6,-0.3700456917285919
17,5,-0.38341498374938965
9,8,-0.3903369605541229
8,9,-0.39425045251846313
