Head,LogitDiff
Layer6Head19,-0.00909423828125
Layer26Head17,-0.00909423828125
Layer33Head6,-0.00909423828125
Layer5Head5,-0.0091094970703125
Layer15Head10,-0.009124755859375
Layer15Head13,-0.009124755859375
Layer3Head13,-0.009124755859375
Layer10Head19,-0.009124755859375
Layer9Head20,-0.009124755859375
Layer31Head5,-0.009124755859375
Layer2Head0,-0.009124755859375
Layer17Head10,-0.009124755859375
Layer15Head7,-0.009124755859375
Layer3Head6,-0.0091552734375
Layer30Head1,-0.0091552734375
Layer33Head5,-0.009185791015625
Layer11Head31,-0.009307861328125
Layer9Head14,-0.0093231201171875
Layer10Head23,-0.0093231201171875
Layer1Head24,-0.00933837890625
Layer5Head29,-0.00933837890625
Layer22Head1,-0.00933837890625
Layer34Head12,-0.00933837890625
Layer13Head7,-0.00933837890625
Layer7Head8,-0.0093536376953125
Layer22Head25,-0.009368896484375
Layer6Head31,-0.009368896484375
Layer29Head30,-0.009368896484375
Layer34Head1,-0.0093841552734375
Layer20Head14,-0.0093841552734375
Layer33Head30,-0.0093994140625
Layer0Head31,-0.0093994140625
Layer19Head0,-0.0093994140625
Layer35Head29,-0.0093994140625
Layer31Head24,-0.0093994140625
Layer7Head23,-0.0093994140625
Layer32Head25,-0.009429931640625
Layer27Head12,-0.009429931640625
Layer33Head14,-0.009429931640625
Layer18Head27,-0.009552001953125
Layer22Head0,-0.009552001953125
Layer6Head11,-0.009552001953125
Layer15Head11,-0.00958251953125
Layer9Head2,-0.00958251953125
Layer32Head27,-0.00958251953125
Layer13Head8,-0.0095977783203125
Layer8Head18,-0.0095977783203125
Layer26Head22,-0.009613037109375
Layer10Head18,-0.009613037109375
Layer28Head19,-0.009613037109375
Layer13Head11,-0.009613037109375
Layer17Head16,-0.009613037109375
Layer17Head0,-0.009613037109375
Layer24Head12,-0.0096282958984375
Layer13Head26,-0.0096282958984375
Layer12Head14,-0.0096282958984375
Layer27Head28,-0.0096282958984375
Layer5Head1,-0.0096435546875
Layer29Head18,-0.0096435546875
Layer12Head3,-0.0096435546875
Layer24Head28,-0.0096435546875
Layer3Head25,-0.0096588134765625
Layer9Head31,-0.0098114013671875
Layer15Head27,-0.00982666015625
Layer3Head30,-0.00982666015625
Layer19Head21,-0.00982666015625
Layer31Head28,-0.00982666015625
Layer5Head9,-0.00982666015625
Layer22Head13,-0.00982666015625
Layer28Head8,-0.00982666015625
Layer11Head26,-0.0098419189453125
Layer12Head0,-0.0098419189453125
Layer11Head27,-0.009857177734375
Layer34Head0,-0.009857177734375
Layer20Head6,-0.009857177734375
Layer28Head18,-0.009857177734375
Layer7Head30,-0.009857177734375
Layer12Head19,-0.009857177734375
Layer7Head19,-0.0098724365234375
Layer9Head13,-0.0098876953125
Layer34Head5,-0.0099029541015625
Layer31Head0,-0.00994873046875
Layer3Head14,-0.0100555419921875
