Layer,Head,Contribution
27,13,0.8428184986114502
28,1,0.8292004466056824
31,10,0.8172643184661865
3,15,0.8136897087097168
7,0,0.8053759336471558
22,1,0.8039054274559021
1,14,0.7869839668273926
14,15,0.7858556509017944
23,4,0.785463273525238
5,6,0.7843239307403564
17,11,0.7747914791107178
15,4,0.7681199312210083
24,2,0.7586438655853271
8,10,0.757081151008606
30,6,0.750078558921814
6,10,0.7478334903717041
12,7,0.7453470230102539
4,3,0.7419629096984863
21,6,0.7259504795074463
23,0,0.7106973528862
20,8,0.7040841579437256
33,14,0.6984515190124512
2,14,0.6937848329544067
20,7,0.6884742975234985
9,0,0.6838486194610596
12,5,0.6821973919868469
4,5,0.6813493371009827
28,13,0.6804486513137817
20,3,0.6783000826835632
34,5,0.6667472720146179
25,5,0.6640879511833191
27,12,0.6585355997085571
17,8,0.6555032134056091
19,2,0.644102931022644
14,13,0.6391679644584656
15,14,0.6260302066802979
19,3,0.6245737671852112
3,13,0.6168630123138428
24,4,0.6090680360794067
25,4,0.6079308986663818
25,0,0.6002737283706665
12,15,0.5994958281517029
1,8,0.5792714357376099
7,1,0.5789472460746765
18,6,0.577383816242218
0,3,0.575316309928894
8,13,0.5684546828269958
0,9,0.5678520798683167
16,12,0.5631413459777832
29,6,0.561935544013977
27,5,0.5559017062187195
2,11,0.5479863882064819
14,5,0.5432122945785522
22,4,0.5411075949668884
23,6,0.5399081110954285
16,11,0.5386369228363037
15,5,0.5264255404472351
15,2,0.5256465673446655
19,4,0.5243209600448608
29,7,0.5196888446807861
4,10,0.5097929239273071
30,9,0.5050622224807739
2,4,0.5019935369491577
9,13,0.4984506368637085
17,15,0.4887385070323944
8,15,0.4859970808029175
16,10,0.4822750687599182
16,13,0.48075270652770996
2,1,0.47538265585899353
15,11,0.4706008732318878
18,14,0.46895891427993774
10,15,0.46205833554267883
22,6,0.4606434106826782
14,10,0.4449228346347809
14,4,0.43418794870376587
8,0,0.43386995792388916
24,11,0.4322032928466797
30,1,0.42918315529823303
17,2,0.4289878010749817
19,8,0.42122623324394226
9,15,0.41234952211380005
18,3,0.4109201729297638
1,1,0.4100664258003235
21,11,0.40983814001083374
29,2,0.40408456325531006
17,5,0.39772385358810425
17,14,0.3969290852546692
28,3,0.3925055265426636
7,4,0.3905990421772003
9,8,0.3901823163032532
26,5,0.3762229084968567
0,6,0.3751402795314789
11,3,0.37394699454307556
