layer,head,importance
10,10,0.01778888702392578
1,18,0.017675399780273438
30,18,0.017594337463378906
4,30,0.01753711700439453
19,14,0.01751995086669922
27,10,0.017492294311523438
18,19,0.017441749572753906
6,6,0.017374038696289062
0,4,0.01715373992919922
7,3,0.0170440673828125
4,14,0.01702404022216797
18,25,0.0168914794921875
29,6,0.016817092895507812
30,12,0.016740798950195312
4,2,0.016681671142578125
5,8,0.016637802124023438
9,26,0.016503334045410156
4,28,0.01639556884765625
20,9,0.016219139099121094
20,3,0.01621723175048828
17,21,0.0160369873046875
4,24,0.015888214111328125
7,18,0.015366554260253906
22,17,0.015350341796875
19,9,0.015226364135742188
11,29,0.015170097351074219
15,7,0.015058517456054688
1,29,0.014852523803710938
27,6,0.01482391357421875
28,21,0.014788627624511719
8,2,0.01474761962890625
29,4,0.014744758605957031
3,25,0.014727592468261719
15,9,0.014706611633300781
11,1,0.014599800109863281
16,3,0.014491081237792969
24,28,0.014481544494628906
25,25,0.014473915100097656
10,16,0.01447296142578125
6,19,0.014369964599609375
0,14,0.014277458190917969
31,26,0.014211654663085938
25,6,0.014162063598632812
31,9,0.014028549194335938
26,3,0.013972282409667969
17,29,0.013885498046875
3,14,0.013806343078613281
29,25,0.013607978820800781
12,16,0.01357269287109375
25,2,0.013451576232910156
3,9,0.013373374938964844
19,31,0.013371467590332031
15,19,0.013293266296386719
8,30,0.013226509094238281
3,0,0.013203620910644531
0,16,0.013153076171875
19,8,0.013072967529296875
8,29,0.013043403625488281
5,15,0.013018608093261719
24,27,0.012982368469238281
5,23,0.012948036193847656
24,31,0.01294708251953125
30,2,0.012865066528320312
5,20,0.01271820068359375
12,30,0.012673377990722656
29,18,0.012523651123046875
17,2,0.012450218200683594
10,11,0.012286186218261719
11,20,0.012232780456542969
27,16,0.012192726135253906
3,31,0.012146949768066406
14,7,0.012061119079589844
27,14,0.012047767639160156
16,12,0.012024879455566406
13,14,0.011938095092773438
14,12,0.0119171142578125
17,31,0.011892318725585938
2,26,0.011884689331054688
9,5,0.011879920959472656
27,29,0.011770248413085938
14,13,0.011705398559570312
13,3,0.011704444885253906
8,14,0.011620521545410156
24,2,0.011597633361816406
2,17,0.011591911315917969
28,19,0.011578559875488281
6,17,0.01157379150390625
21,1,0.011545181274414062
19,24,0.011350631713867188
27,22,0.011339187622070312
17,6,0.0113372802734375
14,23,0.011195182800292969
10,14,0.011143684387207031
26,0,0.011124610900878906
30,4,0.011029243469238281
28,20,0.010930061340332031
21,3,0.010819435119628906
25,4,0.010699272155761719
2,7,0.010685920715332031
18,8,0.010652542114257812
17,1,0.010564804077148438
25,10,0.010548591613769531
20,21,0.010486602783203125
3,2,0.010338783264160156
16,9,0.010304450988769531
26,6,0.010266304016113281
15,25,0.010262489318847656
6,15,0.010220527648925781
3,11,0.01020050048828125
