layer,head,mean,min,max
9,3,0.08945257216691971,0.08836101740598679,0.09244224429130554
9,4,0.08533674478530884,0.08533674478530884,0.08533674478530884
9,5,0.13410843908786774,0.08533674478530884,0.23196931183338165
9,6,0.1179160550236702,0.08533674478530884,0.23195379972457886
9,7,0.09870855510234833,0.08970800787210464,0.12839001417160034
9,8,0.11787715554237366,0.08533674478530884,0.23196926712989807
9,9,0.11249402910470963,0.0853409543633461,0.23190262913703918
9,10,0.11066550016403198,0.08899171650409698,0.15462379157543182
9,11,0.08533867448568344,0.08533674478530884,0.08535049855709076
10,0,0.10263834148645401,0.08887770026922226,0.1301908940076828
10,1,0.08602555096149445,0.08533858507871628,0.08731573075056076
10,2,0.10689527541399002,0.08571293205022812,0.176361083984375
10,3,0.08533674478530884,0.08533674478530884,0.08533675223588943
10,4,0.08533693104982376,0.08533674478530884,0.0853375643491745
10,5,0.08670981973409653,0.08562814444303513,0.08792712539434433
10,6,0.13421104848384857,0.08533674478530884,0.23196931183338165
10,7,0.11593762040138245,0.08533685654401779,0.22580696642398834
10,8,0.08534602075815201,0.08533687889575958,0.08536087721586227
10,9,0.08659613132476807,0.08540830761194229,0.09187908470630646
10,10,0.13387475907802582,0.0853404626250267,0.23191043734550476
10,11,0.10600052028894424,0.08604586869478226,0.1817522495985031
11,0,0.09554295986890793,0.08534147590398788,0.1327248513698578
11,1,0.12445464730262756,0.08533694595098495,0.23196610808372498
11,2,0.11867710202932358,0.08533735573291779,0.23195970058441162
11,3,0.11112941801548004,0.0861809179186821,0.18308192491531372
11,4,0.11795772612094879,0.08533674478530884,0.23196931183338165
11,5,0.09746740758419037,0.08535590767860413,0.18851086497306824
11,6,0.08699779957532883,0.08533784002065659,0.09077928960323334
11,7,0.10532603412866592,0.0856999084353447,0.22614657878875732
11,8,0.11792198568582535,0.08533674478530884,0.23196931183338165
11,9,0.11165964603424072,0.08538500219583511,0.23120415210723877
11,10,0.09488759189844131,0.08670758455991745,0.14480045437812805
11,11,0.13381989300251007,0.0853368267416954,0.23196808993816376
